video_id,title,description,tags,published_at,duration,view_count
2KGO54k0di0,Surah Al-Mulk with Urdu Translation - Ayah 15 To 30 Ruku No 2,"Tarjuma by :
Molana Muhammad Saleem Akhtar

FRIDAY CLASS PLAYLIST 
https://www.youtube.com/playlist?list=PLQowKeTNj5RHy5aDTVNMg2UP2Idoaz0Kj

Quran With Urdu Translation
PLAYLIST LIVE URDU TRJUMA QURAN 2023
https://www.youtube.com/playlist?list=PLQowKeTNj5RFktbc8r-Duku_qu5AzR1LG

Quran With Urdu Translation
 اردو ترجمہ قرآن

All platfoms we are live on
Zikra Social Media Links

YouTube
https://www.youtube.com/channel/UCLYuowOAkMxiPFNWEDzqldQ?view_as=subscriber

Facebook
https://www.facebook.com/Zikra-Dar-ul-nashr-ذکریٰ-دار-النشر-102479931673745/

Tags:
Zikra trjuma Quran
urdu trjuma quran by Zikra dar ul nashr
Ramzan Live Trjuma
Quran Urdu Hindi Translation
اردو ترجمہ قرآن
zikra dar ul nashr

#quranwithurdutranslation 
#friday  
#urdutarjuma

zikra friday class
trjuma by molana muhammad saleem akhtar
zikra trjuma quran
zikra darul nashr
zikra dar ul nashr
trjuma by zikra
Muhammad Saleem Akhtar
Molana Muhammad saleem akhtar
zikra","zikra dar ul nashr,zikra trjuma quran,urdu trjuma quran,friday class zikra,zikra friday class,Surah Al-Mulk with Urdu Translation,Surah Al-Mulk 15 to 30,Ruku 2 Surah Al-Mulk,Trjuma Surah Al-Mulk 15 to 30 with Urdu Translation,Trjuma 15 to 30 Surah Al-Mulk,Surah Al-Mulk Urdu trjuma,Urdu trjuma Surah Al-Mulk,Urdu Translation Surah Al-Mulk Ayah 15 30,Surah Al-Mulk Urdu Trjuma 15 30,Ayah 15 to 30 Surah Al-Mulk",2025-07-30T12:00:04Z,PT9M40S,0
Fb-WSZ9Qgzc,Surah Al-Mulk with Urdu Translation - Ayah 1 To 14 Ruku No 1,"Tarjuma by :
Molana Muhammad Saleem Akhtar

FRIDAY CLASS PLAYLIST 
https://www.youtube.com/playlist?list=PLQowKeTNj5RHy5aDTVNMg2UP2Idoaz0Kj

Quran With Urdu Translation
PLAYLIST LIVE URDU TRJUMA QURAN 2023
https://www.youtube.com/playlist?list=PLQowKeTNj5RFktbc8r-Duku_qu5AzR1LG

Quran With Urdu Translation
 اردو ترجمہ قرآن

All platfoms we are live on
Zikra Social Media Links

YouTube
https://www.youtube.com/channel/UCLYuowOAkMxiPFNWEDzqldQ?view_as=subscriber

Facebook
https://www.facebook.com/Zikra-Dar-ul-nashr-ذکریٰ-دار-النشر-102479931673745/

Tags:
Zikra trjuma Quran
urdu trjuma quran by Zikra dar ul nashr
Ramzan Live Trjuma
Quran Urdu Hindi Translation
اردو ترجمہ قرآن
zikra dar ul nashr

#quranwithurdutranslation 
#friday  
#urdutarjuma

zikra friday class
trjuma by molana muhammad saleem akhtar
zikra trjuma quran
zikra darul nashr
zikra dar ul nashr
trjuma by zikra
Muhammad Saleem Akhtar
Molana Muhammad saleem akhtar
zikra","zikra dar ul nashr,zikra trjuma quran,urdu trjuma quran,friday class zikra,zikra friday class,Surah Al-Mulk with Urdu Translation,Surah Al-Mulk 1 to 14,Ruku 1 Surah Al-Mulk,Trjuma Surah Al-Mulk 1 to 14 with Urdu Translation,Trjuma 1 to 14 Surah Al-Mulk,Surah Al-Mulk Urdu trjuma,Urdu trjuma Surah Al-Mulk,Urdu Translation Surah Al-Mulk Ayah 1 14,Surah Al-Mulk Urdu Trjuma 1 14,Ayah 1 to 14 Surah Al-Mulk",2025-07-29T12:00:37Z,PT12M43S,2
BdRl51m6iiI,Surah At-Tahrim with Urdu Translation - Ayah 15 To 30 Ruku No 2,"Tarjuma by :
Molana Muhammad Saleem Akhtar

FRIDAY CLASS PLAYLIST 
https://www.youtube.com/playlist?list=PLQowKeTNj5RHy5aDTVNMg2UP2Idoaz0Kj

Quran With Urdu Translation
PLAYLIST LIVE URDU TRJUMA QURAN 2023
https://www.youtube.com/playlist?list=PLQowKeTNj5RFktbc8r-Duku_qu5AzR1LG

Quran With Urdu Translation
 اردو ترجمہ قرآن

All platfoms we are live on
Zikra Social Media Links

YouTube
https://www.youtube.com/channel/UCLYuowOAkMxiPFNWEDzqldQ?view_as=subscriber

Facebook
https://www.facebook.com/Zikra-Dar-ul-nashr-ذکریٰ-دار-النشر-102479931673745/

Tags:
Zikra trjuma Quran
urdu trjuma quran by Zikra dar ul nashr
Ramzan Live Trjuma
Quran Urdu Hindi Translation
اردو ترجمہ قرآن
zikra dar ul nashr

#quranwithurdutranslation 
#friday  
#urdutarjuma

zikra friday class
trjuma by molana muhammad saleem akhtar
zikra trjuma quran
zikra darul nashr
zikra dar ul nashr
trjuma by zikra
Muhammad Saleem Akhtar
Molana Muhammad saleem akhtar
zikra","zikra dar ul nashr,zikra trjuma quran,urdu trjuma quran,friday class zikra,zikra friday class,Surah At-Tahrim with Urdu Translation,Surah At-Tahrim 15 to 30,Ruku 2 Surah At-Tahrim,Trjuma Surah At-Tahrim 15 to 30 with Urdu Translation,Trjuma 15 to 30 Surah At-Tahrim,Surah At-Tahrim Urdu trjuma,Urdu trjuma Surah At-Tahrim,Urdu Translation Surah At-Tahrim Ayah 15 30,Surah At-Tahrim Urdu Trjuma 15 30,Ayah 15 to 30 Surah At-Tahrim",2025-07-28T12:00:15Z,PT8M6S,0
oysBqGcHSW4,Surah At-Tahrim with Urdu Translation - Ayah 1 To 14 Ruku No 1,"Tarjuma by :
Molana Muhammad Saleem Akhtar

FRIDAY CLASS PLAYLIST 
https://www.youtube.com/playlist?list=PLQowKeTNj5RHy5aDTVNMg2UP2Idoaz0Kj

Quran With Urdu Translation
PLAYLIST LIVE URDU TRJUMA QURAN 2023
https://www.youtube.com/playlist?list=PLQowKeTNj5RFktbc8r-Duku_qu5AzR1LG

Quran With Urdu Translation
 اردو ترجمہ قرآن

All platfoms we are live on
Zikra Social Media Links

YouTube
https://www.youtube.com/channel/UCLYuowOAkMxiPFNWEDzqldQ?view_as=subscriber

Facebook
https://www.facebook.com/Zikra-Dar-ul-nashr-ذکریٰ-دار-النشر-102479931673745/

Tags:
Zikra trjuma Quran
urdu trjuma quran by Zikra dar ul nashr
Ramzan Live Trjuma
Quran Urdu Hindi Translation
اردو ترجمہ قرآن
zikra dar ul nashr

#quranwithurdutranslation 
#friday  
#urdutarjuma

zikra friday class
trjuma by molana muhammad saleem akhtar
zikra trjuma quran
zikra darul nashr
zikra dar ul nashr
trjuma by zikra
Muhammad Saleem Akhtar
Molana Muhammad saleem akhtar
zikra","zikra dar ul nashr,zikra trjuma quran,urdu trjuma quran,friday class zikra,zikra friday class,Surah At-Tahrim with Urdu Translation,Surah At-Tahrim 1 to 14,Ruku 1 Surah At-Tahrim,Trjuma Surah At-Tahrim 1 to 14 with Urdu Translation,Trjuma 1 to 14 Surah At-Tahrim,Surah At-Tahrim Urdu trjuma,Urdu trjuma Surah At-Tahrim,Urdu Translation Surah At-Tahrim Ayah 1 14,Surah At-Tahrim Urdu Trjuma 1 14,Ayah 1 to 14 Surah At-Tahrim",2025-07-27T12:01:22Z,PT9M13S,9
RdQILxBH01g,Surah At-Talaq with Urdu Translation - Ayah 8 To 12 Ruku No 2,"Tarjuma by :
Molana Muhammad Saleem Akhtar

FRIDAY CLASS PLAYLIST 
https://www.youtube.com/playlist?list=PLQowKeTNj5RHy5aDTVNMg2UP2Idoaz0Kj

Quran With Urdu Translation
PLAYLIST LIVE URDU TRJUMA QURAN 2023
https://www.youtube.com/playlist?list=PLQowKeTNj5RFktbc8r-Duku_qu5AzR1LG

Quran With Urdu Translation
 اردو ترجمہ قرآن

All platfoms we are live on
Zikra Social Media Links

YouTube
https://www.youtube.com/channel/UCLYuowOAkMxiPFNWEDzqldQ?view_as=subscriber

Facebook
https://www.facebook.com/Zikra-Dar-ul-nashr-ذکریٰ-دار-النشر-102479931673745/

Tags:
Zikra trjuma Quran
urdu trjuma quran by Zikra dar ul nashr
Ramzan Live Trjuma
Quran Urdu Hindi Translation
اردو ترجمہ قرآن
zikra dar ul nashr

#quranwithurdutranslation 
#friday  
#urdutarjuma

zikra friday class
trjuma by molana muhammad saleem akhtar
zikra trjuma quran
zikra darul nashr
zikra dar ul nashr
trjuma by zikra
Muhammad Saleem Akhtar
Molana Muhammad saleem akhtar
zikra","zikra dar ul nashr,zikra trjuma quran,urdu trjuma quran,friday class zikra,zikra friday class,Surah At-Talaq with Urdu Translation,Surah At-Talaq 8 to 12,Ruku 2 Surah At-Talaq,Trjuma Surah At-Talaq 8 to 12 with Urdu Translation,Trjuma 8 to 12 Surah At-Talaq,Surah At-Talaq Urdu trjuma,Urdu trjuma Surah At-Talaq,Urdu Translation Surah At-Talaq Ayah 8 12,Surah At-Talaq Urdu Trjuma 8 12,Ayah 8 to 12 Surah At-Talaq",2025-07-26T12:00:51Z,PT4M55S,3
UfBxXjR6DIA,Live 2025 - Parah 8 Ruba 2 Urdu Trjuma Quran | Zikra Dar Ul Nashr,"Urdu Trjuma #live #zikra #quranlive #quran #livetarjuma #youtubelive
#zikradarulnashr #urdutajuma #quraninurdu
Zikra Dar Ul Nashr",,2025-07-26T04:07:50Z,PT46M18S,10
08C6PohWA-0,Surah At-Talaq with Urdu Translation - Ayah 1 To 7 Ruku No 1,"Tarjuma by :
Molana Muhammad Saleem Akhtar

FRIDAY CLASS PLAYLIST 
https://www.youtube.com/playlist?list=PLQowKeTNj5RHy5aDTVNMg2UP2Idoaz0Kj

Quran With Urdu Translation
PLAYLIST LIVE URDU TRJUMA QURAN 2023
https://www.youtube.com/playlist?list=PLQowKeTNj5RFktbc8r-Duku_qu5AzR1LG

Quran With Urdu Translation
 اردو ترجمہ قرآن

All platfoms we are live on
Zikra Social Media Links

YouTube
https://www.youtube.com/channel/UCLYuowOAkMxiPFNWEDzqldQ?view_as=subscriber

Facebook
https://www.facebook.com/Zikra-Dar-ul-nashr-ذکریٰ-دار-النشر-102479931673745/

Tags:
Zikra trjuma Quran
urdu trjuma quran by Zikra dar ul nashr
Ramzan Live Trjuma
Quran Urdu Hindi Translation
اردو ترجمہ قرآن
zikra dar ul nashr

#quranwithurdutranslation 
#friday  
#urdutarjuma

zikra friday class
trjuma by molana muhammad saleem akhtar
zikra trjuma quran
zikra darul nashr
zikra dar ul nashr
trjuma by zikra
Muhammad Saleem Akhtar
Molana Muhammad saleem akhtar
zikra","zikra dar ul nashr,zikra trjuma quran,urdu trjuma quran,friday class zikra,zikra friday class,Surah At-Talaq with Urdu Translation,Surah At-Talaq 1 to 7,Ruku 1 Surah At-Talaq,Trjuma Surah At-Talaq 1 to 7 with Urdu Translation,Trjuma 1 to 7 Surah At-Talaq,Surah At-Talaq Urdu trjuma,Urdu trjuma Surah At-Talaq,Urdu Translation Surah At-Talaq Ayah 1 7,Surah At-Talaq Urdu Trjuma 1 7,Ayah 1 to 7 Surah At-Talaq",2025-07-24T12:00:03Z,PT21M54S,13
xPWUJywCxHQ,Surah At-Tagabun with Urdu Translation - Ayah 8 To 12 Ruku No 2,"Tarjuma by :
Molana Muhammad Saleem Akhtar

FRIDAY CLASS PLAYLIST 
https://www.youtube.com/playlist?list=PLQowKeTNj5RHy5aDTVNMg2UP2Idoaz0Kj

Quran With Urdu Translation
PLAYLIST LIVE URDU TRJUMA QURAN 2023
https://www.youtube.com/playlist?list=PLQowKeTNj5RFktbc8r-Duku_qu5AzR1LG

Quran With Urdu Translation
 اردو ترجمہ قرآن

All platfoms we are live on
Zikra Social Media Links

YouTube
https://www.youtube.com/channel/UCLYuowOAkMxiPFNWEDzqldQ?view_as=subscriber

Facebook
https://www.facebook.com/Zikra-Dar-ul-nashr-ذکریٰ-دار-النشر-102479931673745/

Tags:
Zikra trjuma Quran
urdu trjuma quran by Zikra dar ul nashr
Ramzan Live Trjuma
Quran Urdu Hindi Translation
اردو ترجمہ قرآن
zikra dar ul nashr

#quranwithurdutranslation 
#friday  
#urdutarjuma

zikra friday class
trjuma by molana muhammad saleem akhtar
zikra trjuma quran
zikra darul nashr
zikra dar ul nashr
trjuma by zikra
Muhammad Saleem Akhtar
Molana Muhammad saleem akhtar
zikra","zikra dar ul nashr,zikra trjuma quran,urdu trjuma quran,friday class zikra,zikra friday class,Surah At-Tagabun with Urdu Translation,Surah At-Tagabun 8 to 12,Ruku 2 Surah At-Tagabun,Trjuma Surah At-Tagabun 8 to 12 with Urdu Translation,Trjuma 8 to 12 Surah At-Tagabun,Surah At-Tagabun Urdu trjuma,Urdu trjuma Surah At-Tagabun,Urdu Translation Surah At-Tagabun Ayah 8 12,Surah At-Tagabun Urdu Trjuma 8 12,Ayah 8 to 12 Surah At-Tagabun",2025-07-23T12:02:02Z,PT8M49S,17
K9z4ZHNVpP0,Surah Al-Munafiqun with Urdu Translation - Ayah 11 To 18 Ruku No 2,"Tarjuma by :
Molana Muhammad Saleem Akhtar

FRIDAY CLASS PLAYLIST 
https://www.youtube.com/playlist?list=PLQowKeTNj5RHy5aDTVNMg2UP2Idoaz0Kj

Quran With Urdu Translation
PLAYLIST LIVE URDU TRJUMA QURAN 2023
https://www.youtube.com/playlist?list=PLQowKeTNj5RFktbc8r-Duku_qu5AzR1LG

Quran With Urdu Translation
 اردو ترجمہ قرآن

All platfoms we are live on
Zikra Social Media Links

YouTube
https://www.youtube.com/channel/UCLYuowOAkMxiPFNWEDzqldQ?view_as=subscriber

Facebook
https://www.facebook.com/Zikra-Dar-ul-nashr-ذکریٰ-دار-النشر-102479931673745/

Tags:
Zikra trjuma Quran
urdu trjuma quran by Zikra dar ul nashr
Ramzan Live Trjuma
Quran Urdu Hindi Translation
اردو ترجمہ قرآن
zikra dar ul nashr

#quranwithurdutranslation 
#friday  
#urdutarjuma

zikra friday class
trjuma by molana muhammad saleem akhtar
zikra trjuma quran
zikra darul nashr
zikra dar ul nashr
trjuma by zikra
Muhammad Saleem Akhtar
Molana Muhammad saleem akhtar
zikra","zikra dar ul nashr,zikra trjuma quran,urdu trjuma quran,friday class zikra,zikra friday class,Surah Al-Munafiqun with Urdu Translation,Surah Al-Munafiqun 11 to 18,Ruku 2 Surah Al-Munafiqun,Trjuma Surah Al-Munafiqun 11 to 18 with Urdu Translation,Trjuma 11 to 18 Surah Al-Munafiqun,Surah Al-Munafiqun Urdu trjuma,Urdu trjuma Surah Al-Munafiqun,Urdu Translation Surah Al-Munafiqun Ayah 11 18,Surah Al-Munafiqun Urdu Trjuma 11 18,Ayah 11 to 18 Surah Al-Munafiqun",2025-07-21T12:26:41Z,PT2M9S,37
tDIZtxgKSVI,Surah At-Tagabun with Urdu Translation - Ayah 1 To 7 Ruku No 1,"Tarjuma by :
Molana Muhammad Saleem Akhtar

FRIDAY CLASS PLAYLIST 
https://www.youtube.com/playlist?list=PLQowKeTNj5RHy5aDTVNMg2UP2Idoaz0Kj

Quran With Urdu Translation
PLAYLIST LIVE URDU TRJUMA QURAN 2023
https://www.youtube.com/playlist?list=PLQowKeTNj5RFktbc8r-Duku_qu5AzR1LG

Quran With Urdu Translation
 اردو ترجمہ قرآن

All platfoms we are live on
Zikra Social Media Links

YouTube
https://www.youtube.com/channel/UCLYuowOAkMxiPFNWEDzqldQ?view_as=subscriber

Facebook
https://www.facebook.com/Zikra-Dar-ul-nashr-ذکریٰ-دار-النشر-102479931673745/

Tags:
Zikra trjuma Quran
urdu trjuma quran by Zikra dar ul nashr
Ramzan Live Trjuma
Quran Urdu Hindi Translation
اردو ترجمہ قرآن
zikra dar ul nashr

#quranwithurdutranslation 
#friday  
#urdutarjuma

zikra friday class
trjuma by molana muhammad saleem akhtar
zikra trjuma quran
zikra darul nashr
zikra dar ul nashr
trjuma by zikra
Muhammad Saleem Akhtar
Molana Muhammad saleem akhtar
zikra","zikra dar ul nashr,zikra trjuma quran,urdu trjuma quran,friday class zikra,zikra friday class,Surah At-Tagabun with Urdu Translation,Surah At-Tagabun 1 to 7,Ruku 1 Surah At-Tagabun,Trjuma Surah At-Tagabun 1 to 7 with Urdu Translation,Trjuma 1 to 7 Surah At-Tagabun,Surah At-Tagabun Urdu trjuma,Urdu trjuma Surah At-Tagabun,Urdu Translation Surah At-Tagabun Ayah 1 7,Surah At-Tagabun Urdu Trjuma 1 7,Ayah 1 to 7 Surah At-Tagabun",2025-07-21T12:01:43Z,PT9M,14
